day_number,day_name,day_focus,exercise_order,split,exercise,exercise_category,sets,reps,target_rir,target_fatigue,model_predicted_weight,final_recommended_weight,history_available,safety_adjustment,recommendation_reason
1,Day 1 - Upper,Upper,1,upper_lower,Barbell Row,pull,4,3,2,7,22.04,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Upper,Upper,2,upper_lower,Biceps Curl,pull,4,7,2,7,8.5,7.5,False,limited_by_high_fatigue_or_low_rir,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Upper,Upper,3,upper_lower,Lat Pulldown,pull,3,5,2,7,15.15,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Upper,Upper,4,upper_lower,Shoulder Press,push,3,4,2,7,15.6,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Upper,Upper,5,upper_lower,Incline Bench Press,push,3,4,2,7,16.15,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
1,Day 1 - Upper,Upper,6,upper_lower,Bench Press,push,4,3,2,7,22.79,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Lower,Lower,1,upper_lower,Calf Raise,legs,4,9,2,7,17.4,17.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Lower,Lower,2,upper_lower,Deadlift,legs,4,3,2,7,37.4,37.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Lower,Lower,3,upper_lower,Leg Curl,legs,4,7,2,7,8.37,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Lower,Lower,4,upper_lower,Leg Press,legs,4,6,2,7,35.35,35.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
2,Day 2 - Lower,Lower,5,upper_lower,Squat,legs,4,3,2,7,39.69,40.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,1,upper_lower,Incline Bench Press,push,3,4,2,7,16.15,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,2,upper_lower,Bench Press,push,4,3,2,7,22.79,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,3,upper_lower,Barbell Row,pull,4,3,2,7,22.04,22.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,4,upper_lower,Biceps Curl,pull,4,7,2,7,8.5,7.5,False,limited_by_high_fatigue_or_low_rir,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,5,upper_lower,Lat Pulldown,pull,3,5,2,7,15.15,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
3,Day 3 - Upper,Upper,6,upper_lower,Shoulder Press,push,3,4,2,7,15.6,15.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
4,Day 4 - Lower,Lower,1,upper_lower,Squat,legs,4,3,2,7,39.69,40.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
4,Day 4 - Lower,Lower,2,upper_lower,Calf Raise,legs,4,9,2,7,17.4,17.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
4,Day 4 - Lower,Lower,3,upper_lower,Deadlift,legs,4,3,2,7,37.4,37.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
4,Day 4 - Lower,Lower,4,upper_lower,Leg Curl,legs,4,7,2,7,8.37,7.5,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
4,Day 4 - Lower,Lower,5,upper_lower,Leg Press,legs,4,6,2,7,35.35,35.0,False,no_adjustment,"Weekly demo recommendation based on split structure, the loaded ML model, similar-user data, user history, and safety rules."
